,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Num Features,Score
112,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.6641637563503497
196,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,27,0.6627586604678097
136,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,27,0.6617348269562691
118,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,27,0.6612797550721728
150,Y,Y,-,Y,-,Y,-,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,-,Y,Y,22,0.6597521059549739
224,-,Y,Y,Y,Y,Y,-,Y,-,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,24,0.6595832112510036
148,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.6593786660445861
165,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,-,Y,Y,Y,Y,Y,Y,25,0.6591920575726256
131,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,27,0.6588828606268246
59,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,28,0.6581634803940227
192,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,-,Y,Y,26,0.6581295603666872
